time,QA:1,force:1,pA:1,pos:1
0.513084906,0.000104175,9228.84367,3276816.425,0.017725748
0.518186893,0.000104304,9124.328463,3239031.381,0.017919443
0.52328888,0.000104188,9221.736918,3272926.79,0.01810253
0.528390867,0.000103847,9504.348899,3372586.611,0.018275462
0.533492855,0.000103317,9939.776315,3526544.282,0.018439563
0.538594842,0.000102651,10483.39002,3719003.942,0.01859688
0.543696829,0.000101911,11082.74777,3931407.429,0.018749974
0.548798816,0.000101164,11682.58605,4144193.294,0.018901669
0.55,0.000100992,11819.8127,4192906.878,0.018937397
0.55,0.000100992,11819.8127,4192906.878,0.018937397
0.55,0.000100992,11819.8127,4192906.878,0.018937397
0.551606521,0.000100776,11991.92701,4254040.626,0.018985598
0.554819564,0.000100366,12317.34642,4369684.74,0.019082752
0.558032606,0.000100008,12600.18757,4470315.238,0.019181694
0.563364304,9.95607E-05,12951.41016,4595562.228,0.019351302
0.568696003,9.93235E-05,13135.73569,4661739.743,0.019529015
0.574027702,9.93114E-05,13142.95643,4665120.885,0.019715797
0.5793594,9.95156E-05,12980.28478,4608153.987,0.0199117
0.584691099,9.99061E-05,12670.80308,4498935.135,0.020115906
0.590022798,0.000100435,12250.49202,4350170.666,0.020326838
0.596482727,0.000101176,11659.79891,4140708.649,0.020588184
0.6,0.000101588,11329.51098,4023450.443,0.020731666
0.6,0.000101588,11329.51098,4023450.443,0.020731666
0.6,0.000101588,11329.51098,4023450.443,0.020731666
0.600339422,0.000101097,11296.3598,4011675.784,0.020745546
0.601018266,9.98727E-05,11227.35122,3987163.7,0.020773303
0.60169711,9.85427E-05,11152.74653,3960660.752,0.020801049
0.602375954,9.72768E-05,11072.5716,3932175.935,0.020828776
0.603291512,9.5534E-05,10955.98506,3890749.783,0.020866131
0.604484869,9.32943E-05,10789.97643,3831754.289,0.02091472
0.606213404,9.00427E-05,10523.16645,3736919.562,0.020984811
0.608940145,8.49372E-05,10045.79325,3567203.002,0.021094329
0.613290425,7.67428E-05,9170.972691,3256097.552,0.0212648
0.617640704,6.84373E-05,8202.696291,2911687.135,0.021427513
0.621990984,5.99358E-05,7199.797575,2554934.942,0.021579124
0.626341263,5.12129E-05,6221.798877,2207050.559,0.021716171
0.630691543,4.22398E-05,5325.880666,1888389.957,0.021835275
0.635041822,3.3041E-05,4563.903353,1617378.401,0.02193334
0.639392102,2.36373E-05,3979.745695,1409554.885,0.022007732
0.644615919,1.21607E-05,3560.185297,1260027.171,0.022062954
0.649839736,5.76407E-07,3477.983314,1230000.05,0.022079169
0.65,2.19488E-07,3480.811813,1230971.287,0.022079049
0.65,2.20619E-07,3480.811813,1230971.287,0.022079049
0.65,2.20619E-07,3480.811813,1230971.287,0.022079049
0.650099545,1.3957E-11,3483.231264,1231809.035,0.022078904
0.650099545,-3.40566E-18,3483.231264,1231809.035,0.022078904
0.650199089,-5.88816E-08,3485.554524,1232612.733,0.022078783
0.650398178,-1.76894E-07,3490.673599,1234387.178,0.022078512
0.650667905,-3.37333E-07,3499.115036,1237323.652,0.022078053
0.651446781,-8.03821E-07,3533.182154,1249228.77,0.022076132
0.652897583,-1.69335E-06,3634.637978,1284832.085,0.022070216
0.654348385,-2.62377E-06,3784.650727,1337586.168,0.022061293
0.655799187,-3.60986E-06,3981.655655,1406929.882,0.02204942
0.65757766,-4.91234E-06,4284.079864,1513432.319,0.022030962
0.659356134,-6.33385E-06,4649.290984,1642077.535,0.022008366
0.661838195,-8.53624E-06,5252.540083,1854592.559,0.021970354
0.664996158,-1.17214E-05,6151.70731,2171357.41,0.021912112
0.669010061,-1.63676E-05,7445.796689,2627240.64,0.021824634
0.673023963,-2.16025E-05,8827.952987,3114188.359,0.02172554
0.677037866,-2.72926E-05,10205.9766,3599814.253,0.021618887
0.681051768,-3.32757E-05,11491.86343,4053214.045,0.021508723
0.685065671,-3.93743E-05,12607.47283,4446920.308,0.021398827
0.689079573,-4.54063E-05,13489.28213,4758548.769,0.02129248
0.693093476,-5.11932E-05,14092.00319,4972063.932,0.021192281
0.697107378,-5.65691E-05,14390.8785,5078600.907,0.021100006
0.7,-6.01024E-05,14415.88654,5088247.15,0.021038948
0.7,-6.01071E-05,14415.88654,5088247.15,0.021038948
0.700975076,-6.01571E-05,14386.73172,5078233.559,0.021019685
0.702925229,-6.00184E-05,14309.25311,5051429.002,0.020982212
0.704351227,-5.98362E-05,14229.01133,5023487.24,0.020956128
0.705777225,-5.96419E-05,14130.01806,4988908.743,0.020931122
0.708238556,-5.91882E-05,13918.61735,4914864.638,0.02089037
0.710699888,-5.86493E-05,13661.09297,4824462.114,0.020852473
0.71453743,-5.76181E-05,13186.10802,4657400.745,0.020798321
0.719797753,-5.5972E-05,12439.00182,4394138.643,0.020731659
0.725058075,-5.41643E-05,11650.08133,4115721.214,0.020670455
0.730318398,-5.23888E-05,10896.8907,3849601.233,0.020610763
0.73557872,-5.07974E-05,10247.48902,3619904.481,0.020548806
0.740839043,-4.9561E-05,9754.422349,3445272.289,0.020481321
0.746099365,-4.87755E-05,9450.712988,3337429.307,0.020405822
0.75,-4.85269E-05,9355.291906,3303268.405,0.020343706
0.75,-4.85267E-05,9355.291906,3303268.405,0.020343706
0.75,-4.85267E-05,9355.291906,3303268.405,0.020343706
0.751577285,-4.85301E-05,9357.063862,3303700.477,0.020316569
0.754731855,-4.86247E-05,9394.660663,3316589.75,0.020260461
0.757886425,-4.8887E-05,9497.339498,3352462.895,0.02020075
0.763417464,-4.968E-05,9809.660661,3462102.583,0.020088097
0.768948503,-5.0783E-05,10251.50533,3617547.588,0.019966805
0.774479541,-5.20435E-05,10767.66981,3799358.296,0.019839294
0.78001058,-5.33148E-05,11300.56504,3987253.518,0.019708406
0.785541618,-5.44711E-05,11795.84612,4162083.096,0.01957708
0.791072657,-5.54147E-05,12207.28962,4307536.298,0.019448051
0.796603695,-5.60793E-05,12500.60031,4411479.112,0.0193236
0.8,-5.63348E-05,12613.84825,4451770.785,0.019250164
0.8,-5.63349E-05,12613.84825,4451770.785,0.019250164
0.8,-5.63349E-05,12613.84825,4451770.785,0.019250164
0.802003334,-5.64067E-05,12645.42456,4463125.454,0.019208515
0.806010003,-5.64668E-05,12671.16625,4472636.961,0.019127131
0.810016671,-5.63657E-05,12624.63359,4456633.044,0.019049556
0.816674016,-5.58894E-05,12410.45865,4381644.282,0.018928511
0.82333136,-5.51141E-05,12067.20636,4260909.328,0.018815716
0.829988705,-5.41709E-05,11657.03526,4116326.063,0.018708478
0.836646049,-5.32076E-05,11246.01218,3971223.606,0.018603561
0.843303394,-5.23671E-05,10893.93348,3846752.328,0.01849771
0.849960738,-5.17659E-05,10646.0302,3758935.367,0.018388127
0.856618083,-5.1475E-05,10527.74379,3716809.679,0.018272825
0.863275428,-5.15099E-05,10543.09349,3721843.89,0.018150837
0.869932772,-5.18321E-05,10676.44023,3768561.391,0.018022253
0.876590117,-5.23626E-05,10896.89676,3846098.512,0.0178881
0.884677081,-5.31363E-05,11221.82118,3960593.108,0.017720264
0.892764046,-5.38871E-05,11541.1567,4073299.823,0.017550514
0.90085101,-5.44667E-05,11790.25682,4161394.031,0.017382507
0.908937975,-5.47817E-05,11926.21584,4209681.161,0.017219119
0.91702494,-5.48022E-05,11934.1575,4212829.468,0.017061938
0.925111904,-5.45582E-05,11827.21963,4175390.401,0.01691109
0.933198869,-5.41279E-05,11640.79973,4109793.43,0.016765377
0.941285833,-5.36192E-05,11422.76128,4032903.79,0.016622681
0.949372798,-5.31458E-05,11222.04905,3962003.76,0.016480501
0.957459763,-5.28034E-05,11078.32583,3911124.154,0.016336522
0.967506762,-5.26428E-05,11011.73874,3887370.059,0.016152694
0.97755376,-5.27774E-05,11068.83194,3907273.823,0.015962445
0.987600759,-5.3124E-05,11215.18995,3958757.277,0.015766662
0.997647758,-5.35456E-05,11394.09428,4021844.305,0.015567796
1,-5.36447E-05,11436.23368,4036721.38,0.015521022
1,-5.36446E-05,11436.23368,4036721.38,0.015521022
1,-5.36446E-05,11436.23368,4036721.38,0.015521022
1.004211505,-5.37876E-05,11497.18993,4058271.235,0.015437707
1.012634516,-5.40124E-05,11593.2291,4092269.372,0.0152721
1.021057527,-5.41057E-05,11632.92362,4106422.436,0.01510896
1.034224464,-5.39974E-05,11585.79715,4090002.131,0.014859682
1.0473914,-5.36872E-05,11452.72462,4043148.18,0.014615885
1.05,-5.3612E-05,11420.55759,4031803.509,0.014568033
1.05,-5.36119E-05,11420.55759,4031803.509,0.014568033
1.05,-5.36119E-05,11420.55759,4031803.509,0.014568033
1.050475547,-5.31805E-05,11416.23452,4030278.09,0.014559315
1.05142664,-5.21793E-05,11410.77718,4028352.816,0.014541879
1.052166695,-5.13675E-05,11411.02803,4028442.258,0.014528315
1.053073864,-5.04191E-05,11416.68843,4030441.828,0.01451169
1.054256443,-4.91782E-05,11432.71046,4036100.704,0.014490023
1.055730748,-4.76716E-05,11466.0738,4047884.963,0.014463027
1.057892466,-4.54921E-05,11540.7131,4074252.532,0.014423506
1.061083074,-4.23514E-05,11702.80549,4131531.468,0.014365457
1.065929544,-3.76363E-05,12051.33465,4254758.32,0.014278648
1.071776026,-3.19009E-05,12597.61817,4448070.286,0.014178116
1.077622509,-2.59397E-05,13226.68089,4670947.895,0.014085296
1.083468992,-1.96624E-05,13875.07807,4901064.616,0.014004058
1.089315474,-1.30248E-05,14479.81346,5116207.574,0.01393839
1.095161957,-6.06965E-06,14983.20101,5295975.578,0.013892016
1.1,-1.27658E-07,15287.54153,5405346.759,0.013870535
1.1,-1.23868E-07,15287.54153,5405346.759,0.013870535
1.1,-1.23868E-07,15287.54153,5405346.759,0.013870535
1.10025908,-3.44798E-08,15300.13476,5409900.417,0.013869858
1.100383955,-1.73599E-11,15306.08629,5412053.514,0.013869537
1.100383955,4.40475E-18,15306.08629,5412053.514,0.013869537
1.100660728,1.23355E-10,15318.06777,5416398.508,0.013868894
1.101214273,2.92044E-10,15339.90516,5424338.02,0.013867717
1.102452886,5.91042E-10,15373.30302,5436639.985,0.013865895
1.105036664,1.25918E-09,15373.8647,5437869.916,0.013865714
1.109362809,2.35351E-09,15168.99889,5367067.899,0.013876206
1.113688954,3.48547E-09,14720.15755,5209736.241,0.013899519
1.118015099,4.62482E-09,14056.85378,4976170.4,0.013934128
1.122341245,5.81314E-09,13222.33581,4681587.626,0.013977779
1.12666739,7.01947E-09,12270.76155,4345135.706,0.014027635
1.130993535,8.27229E-09,11263.70784,3988651.079,0.01408046
1.13531968,9.53786E-09,10266.23323,3635246.135,0.014132832
1.139645825,1.08331E-08,9342.733444,3307815.788,0.014181357
1.14397197,1.21227E-08,8552.839468,3027558.838,0.014222895
1.148298115,1.34156E-08,7947.604982,2812608.282,0.01425476
1.152624261,1.46781E-08,7566.217521,2676858.457,0.014274893
1.156950406,1.59154E-08,7433.442191,2629064.702,0.014281997
1.161276551,1.70992E-08,7557.969629,2672274.506,0.014275621
1.165602696,1.82359E-08,7931.789644,2803628.198,0.014256187
1.169928841,1.93059E-08,8530.649407,3014543.338,0.014224968
1.174254986,2.03209E-08,9315.585178,3291272.19,0.014184001
1.178581132,2.12731E-08,10235.44275,3615797.284,0.014135954
1.182907277,2.21817E-08,11230.22575,3967006.318,0.014083955
1.187233422,2.30515E-08,12235.04942,4322069.495,0.014031386
1.191559567,2.39097E-08,13184.42948,4657928.636,0.013981664
1.195885712,2.47707E-08,14016.60742,4952799.48,0.013938016
1.200211857,2.56657E-08,14677.61212,5187588.034,0.01390327
1.204538002,2.66125E-08,15124.77915,5347128.072,0.013879674
1.208864148,2.76381E-08,15329.49381,5421159.274,0.013868748
1.213190293,2.8754E-08,15278.98424,5404983.329,0.013871188
1.217516438,2.99747E-08,14977.06212,5299757.01,0.013886822
1.221842583,3.12979E-08,14443.78291,5112405.267,0.013914625
1.226168728,3.27209E-08,13714.06799,4855161.929,0.013952785
1.230494873,3.42257E-08,12835.39505,4544769.405,0.013998821
1.234821019,3.57943E-08,11864.7152,4201390.171,0.014049747
1.239147164,3.73977E-08,10864.79524,3847300.458,0.014102262
1.243473309,3.90091E-08,9900.211255,3505449.864,0.014152966
1.247799454,4.05955E-08,9033.236099,3197978.891,0.01419858
1.252125599,4.21294E-08,8319.8679,2944788.868,0.014236154
1.256451744,4.35812E-08,7806.24039,2762255.656,0.014263262
1.26077789,4.49297E-08,7525.638268,2662169.808,0.014278157
1.265104035,4.61553E-08,7496.310948,2650971.946,0.014279886
