time,QA:1,force:1,pA:1,pos:1
0.650471446,-6.45931E-19,3351.625879,1185284.679,0.022052072
0.650821108,-1.43746E-19,3357.173933,1186908.31,0.022051831
0.650939189,-8.51414E-23,3359.27796,1187537.892,0.022051738
0.650939189,-8.51414E-23,3359.27796,1187537.892,0.022051738
0.651406932,2.95291E-30,3374.448921,1192447.327,0.02205101
0.651520222,1.76854E-23,3378.337568,1193711.571,0.022050823
0.651520222,1.76854E-23,3378.337568,1193711.571,0.022050823
0.652101256,-7.2366E-42,3408.559908,1203824.216,0.022049325
0.652211863,-2.98822E-24,3414.518409,1205820.768,0.022049029
0.652211863,-2.98822E-24,3414.518409,1205820.768,0.022049029
0.652903503,3.22812E-50,3466.055109,1223341.124,0.022046433
0.654286784,1.83671E-46,3595.828524,1267748.451,0.022039854
0.655312916,-2.3643E-25,3725.985286,1312583.947,0.022033212
0.655312916,-2.3643E-25,3725.985286,1312583.947,0.022033212
0.656127406,0,3858.750107,1358511.693,0.022026408
0.656234905,2.87608E-26,3876.463398,1364636.394,0.0220255
0.656234905,2.87608E-26,3876.463398,1364636.394,0.0220255
0.657156893,2.51224E-70,4051.620766,1425323.17,0.022016509
0.657263501,-3.09707E-27,4072.059293,1432400.352,0.022015461
0.657263501,-3.09707E-27,4072.059293,1432400.352,0.022015461
0.658214176,-2.16422E-82,4278.247909,1503903.778,0.022004867
0.658320582,3.23581E-28,4301.506424,1511964.55,0.022003673
0.658320582,3.23581E-28,4301.506424,1511964.55,0.022003673
0.659289007,6.75646E-93,4537.12009,1593715.532,0.021991562
0.659395293,-3.31963E-29,4563.154089,1602742.942,0.021990224
0.659395293,-3.31963E-29,4563.154089,1602742.942,0.021990224
0.660384752,-2.8471E-105,4829.429426,1695159.931,0.021976532
0.660490902,3.33414E-30,4858.164164,1705126.808,0.021975056
0.660490902,3.33414E-30,4858.164164,1705126.808,0.021975056
0.661505633,0,5156.735833,1808768.715,0.021959701
0.661611627,-3.26633E-31,5188.084095,1819643.869,0.02195809
0.661611627,-3.26633E-31,5188.084095,1819643.869,0.02195809
0.662656906,-2.36499E-42,5521.069919,1935240.235,0.021940964
0.662656906,5.02176E-49,5521.069919,1935240.235,0.021940964
0.663702185,0,5875.632818,2058329.721,0.021922727
0.665792742,0,6625.354746,2318470.204,0.021884187
0.667431411,0,7265.79901,2540733.911,0.021851258
0.670142729,0,8406.92994,2936942.947,0.021792559
0.673805897,0,10060.77065,3511956.775,0.02170737
0.677469065,0,11771.66994,4108517.578,0.021618989
0.681132233,0,13455.19781,4698268.933,0.021531616
0.684795401,0,15028.77081,5253308.074,0.021449387
0.688458569,0,16416.24828,5747552.103,0.021376164
0.692121736,0,17552.01686,6157997.993,0.021315356
0.695784904,0,18384.27109,6465809.055,0.021269753
0.699448072,0,18877.29752,6657173.8,0.021241402
0.7,0,18921.63892,6675647.463,0.021238665
0.7,0,18921.63892,6675647.463,0.021238665
0.7,0,18921.63892,6675647.463,0.021238665
0.700841432,0,18962.62595,6694460.696,0.021235878
0.702524296,0,19006.13232,6718586.701,0.021232304
0.704207161,0,18973.1394,6715703.958,0.02123273
0.706841316,0,18770.64242,6657461.227,0.021241358
0.710326579,0,18232.39887,6483048.334,0.021267197
0.713811842,0,17411.08107,6205321.803,0.021308343
0.717297105,0,16344.20055,5836610.203,0.021362968
0.720782368,0,15078.22867,5392939.4,0.021428698
0.724267631,0,13666.56516,4893333.311,0.021502716
0.727752894,0,12167.44146,4359011.303,0.021581876
0.731238157,0,10641.80741,3812512.117,0.021662841
0.73472342,0,9151.228502,3276776.248,0.021742211
0.738208683,0,7755.803501,2774218.661,0.021816666
0.741693946,0,6512.106261,2325823.468,0.021883097
0.745179209,0,5471.162336,1950291.833,0.021938733
0.748664472,0,4676.488015,1663273.821,0.021981255
0.75,0,4443.787406,1579042.781,0.021993734
0.75,0,4443.787406,1579042.781,0.021993734
0.75,0,4443.787406,1579042.781,0.021993734
0.750891376,0,4322.463263,1534946.052,0.022000267
0.752674129,0,4119.415136,1460939.492,0.022011231
0.754456882,0,3996.965906,1415630.297,0.022017944
0.757152671,0,3968.159526,1402581.329,0.022019877
0.760677371,0,4214.608148,1485814.3,0.022007546
0.764202072,0,4773.847573,1678841.548,0.021978948
0.767726772,0,5622.807537,1973057.751,0.021935358
0.771251472,0,6724.834386,2355409.336,0.021878709
0.774776173,0,8031.105294,2808960.126,0.02181151
0.778300873,0,9482.79412,3313640.65,0.021736735
0.781825573,0,11013.90509,3847151.904,0.021657688
0.785350273,0,12554.60237,4385978.747,0.021577853
0.788874974,0,14034.80835,4906461.449,0.021500736
0.792399674,0,15387.81287,5385870.34,0.021429704
0.795924374,0,16553.63361,5803428.451,0.021367835
0.799449075,0,17481.89798,6141230.959,0.021317783
0.8,0,17604.18094,6186328.207,0.021311101
0.8,0,17604.18094,6186328.207,0.021311101
0.8,0,17604.18094,6186328.207,0.021311101
0.800931836,0,17783.32022,6253069.367,0.021301213
0.802795507,0,18099.76778,6372258.516,0.021283555
0.804659179,0,18331.63811,6462266.226,0.02127022
0.807429798,0,18515.38773,6540040.356,0.021258698
0.81100112,0,18466.51567,6539725.735,0.021258744
0.814572441,0,18103.32268,6427322.307,0.021275397
0.818143763,0,17446.12071,6208540.664,0.02130781
0.821715084,0,16527.37664,5893730.835,0.021354449
0.825286406,0,15389.88297,5497372.387,0.02141317
0.828857727,0,14084.68575,5037400.779,0.021481315
0.832429049,0,12668.87883,4534402.616,0.021555835
0.83600037,0,11203.34154,4010714.55,0.021633421
0.839571692,0,9750.465966,3489461.672,0.021710645
0.843143013,0,8371.897874,2993571.477,0.021784112
0.846714335,0,7126.303728,2544799.394,0.021850599
0.850285656,0,6067.178653,2162801.461,0.021907193
0.853856978,0,5240.724553,1864289.077,0.021951418
0.8574283,0,4683.851782,1662299.517,0.021981343
0.860999621,0,4422.386459,1565613.873,0.021995667
0.864570943,0,4469.59248,1578350.645,0.02199378
0.868142264,0,4825.135504,1699758.108,0.021975793
0.871713586,0,5474.619046,1924221.504,0.021942539
0.875284907,0,6389.805608,2241492.002,0.021895534
0.878856229,0,7529.596749,2637133.577,0.021836919
0.88242755,0,8841.787443,3093172.048,0.021769356
0.885998872,0,10265.53853,3588918.421,0.02169591
0.889570193,0,11734.43644,4101927.547,0.021619907
0.893141515,0,13179.94352,4609043.965,0.021544777
0.896712836,0,14534.99615,5087480.812,0.021473896
0.900284158,0,15737.48996,5515875.419,0.021410429
0.90385548,0,16733.40453,5875267.021,0.021357185
0.907426801,0,17479.36211,6149947.617,0.021316491
0.910998123,0,17944.47848,6328145.841,0.02129009
0.914569444,0,18111.43807,6402514.713,0.021279073
0.918140766,0,17976.79864,6370406.191,0.021283829
0.921712087,0,17550.59224,6233927.489,0.021304049
0.925283409,0,16855.33253,5999785.101,0.021338737
0.92885473,0,15924.56008,5678931.83,0.021386272
0.932426052,0,14801.05876,5286039.415,0.021444479
0.935997373,0,13534.86173,4838824.655,0.021510735
0.939568695,0,12181.14054,4357260.343,0.021582079
0.943140016,0,10798.04346,3862704.335,0.021655349
0.946711338,0,9444.523738,3376980.999,0.02172731
0.95028266,0,8178.181678,2921449.552,0.021794797
0.953853981,0,7053.137805,2516093.648,0.021854852
0.957425303,0,6117.959619,2178666.093,0.021904842
0.960996624,0,5413.679864,1923921.65,0.021942583
0.964567946,0,4971.966829,1762969.401,0.021966429
0.968139267,0,4813.531951,1702773.578,0.021975347
0.971710589,0,4946.881021,1745827.896,0.021968968
0.97528191,0,5367.526365,1890022.907,0.021947605
0.978853232,0,6057.773198,2128718.497,0.021912242
0.982424553,0,6987.170426,2451024.565,0.021864492
0.985995875,0,8113.674327,2842282.469,0.021806526
0.989567196,0,9385.51602,3284728.648,0.021740977
0.993138518,0,10743.69737,3758310.846,0.021670815
0.99670984,0,12124.97441,4241617.613,0.021599212
1,0,13361.33983,4676272.525,0.021534817
1,0,13361.33983,4676272.525,0.021534817
1,0,13361.33983,4676272.525,0.021534817
1.00086769,0,13673.34124,4786437.518,0.021518496
1.00260307,0,14282.12147,5001836.997,0.021486584
1.004338449,0,14857.47175,5206260.895,0.021456299
1.007299889,0,15743.33126,5523185.767,0.021409346
1.011271968,0,16702.92983,5871303.004,0.021357772
1.015244047,0,17357.95177,6115501.81,0.021321594
1.019216126,0,17675.91394,6243022.754,0.021302701
1.023188205,0,17643.9953,6247657.856,0.021302015
1.027160284,0,17268.96224,6130003.861,0.021319445
1.031132363,0,16575.96457,5897334.642,0.021353915
1.035104442,0,15606.43507,5563115.725,0.02140343
1.039076521,0,14415.34384,5146201.037,0.021465196
1.0430486,0,13068.03752,4669764.764,0.021535781
1.047020679,0,11636.84805,4160029.564,0.021611299
